temp,humidity,rainfall
25.1,90,0.0
25.4,88,0.0
24.6,86,0.0
21.2,99,17.9
17.0,100,24.2
21.2,93,0.0
19.1,85,1.2
21.1,89,0.2
23.5,85,0.0
21.0,86,0.0
20.9,85,0.0
21.6,86,0.0
22.7,86,0.0
23.2,88,0.0
22.7,88,0.0
22.3,89,0.0
23.4,90,0.0
23.1,89,0.0
20.8,81,0.0
21.6,91,0.0
23.1,91,0.0
23.8,90,0.0
22.1,90,0.0
21.2,88,0.0
22.5,83,0.0
22.5,96,0.0
22.9,94,1.8
19.3,89,19.7
19.6,91,17.7
16.3,100,39.2
19.1,89,1.7
22.3,89,0.0
23.8,90,0.0
24.6,85,0.0
23.3,84,0.0
23.3,87,0.0
21.9,89,0.0
21.6,77,0.0
21.4,81,0.6
20.3,85,8.8
20.4,83,2.9
22.6,85,0.0
22.7,91,4.8
17.6,100,11.1
19.7,87,0.0
22.6,88,0.0
24.0,89,0.0
24.2,90,0.0
24.4,89,0.0
18.7,94,8.1
22.9,95,0.0
23.8,86,2.7
24.2,91,0.0
24.3,83,0.0
24.3,77,0.0
24.2,82,3.4
20.0,99,43.0
18.9,99,32.4
19.7,97,28.3
23.7,89,2.6
23.8,95,23.3
20.2,99,46.5
18.2,99,63.2
17.4,99,22.8
21.5,90,4.4
21.4,89,2.5
25.6,78,0.0
26.5,81,0.0
24.8,88,2.3
27.1,79,0.0
27.2,77,0.0
26.6,80,0.0
20.6,90,15.3
22.1,85,9.0
20.9,93,27.4
20.8,99,64.7
20.3,94,31.0
21.7,92,18.4
26.3,91,0.0
28.7,82,0.0
30.2,69,0.0
30.2,79,0.1
28.6,75,0.0
30.3,81,0.0
29.0,84,1.7
27.0,94,3.7
23.4,98,2.6
26.5,88,0.1
25.1,91,10.9
21.4,99,51.5
21.1,96,35.2
21.1,92,29.4
25.3,89,18.3
21.1,99,60.7
19.8,99,128.6
20.1,96,74.4
21.7,93,29.9
21.3,94,50.4
20.4,98,80.0
22.9,91,1.9
24.7,88,2.4
28.3,86,0.0
27.3,94,6.8
27.4,93,0.0
29.5,98,0.1
29.0,93,25.5
23.0,100,104.0
20.5,99,73.7
23.6,95,20.6
27.0,85,0.0
25.6,93,13.9
22.3,95,39.2
22.6,95,43.7
21.1,93,32.3
27.4,89,1.8
26.4,88,2.9
26.5,86,1.2
28.1,88,0.0
28.2,91,9.6
25.2,93,1.1
27.9,87,0.0
28.0,93,25.6
23.6,99,56.1
23.4,94,36.0
26.1,93,7.1
27.2,97,6.9
28.1,100,0.2
28.7,94,0.2
28.4,89,0.8
28.2,96,6.3
29.6,90,2.4
26.2,95,10.1
28.4,97,6.8
27.1,94,8.0
25.1,99,27.4
24.4,100,31.2
24.3,99,58.4
25.1,98,17.5
29.8,93,0.2
30.9,92,6.1
27.3,93,19.2
26.3,98,159.6
24.3,98,147.3
24.1,97,99.9
24.7,95,69.7
24.4,98,37.2
24.0,96,30.1
24.4,99,19.2
27.4,98,0.9
29.5,94,13.3
27.2,99,30.4
24.1,99,64.8
24.9,97,20.8
26.9,92,20.0
28.0,96,17.3
25.4,100,61.0
25.2,99,55.6
24.2,100,60.6
23.7,99,61.7
24.6,99,61.4
27.9,97,1.2
31.1,83,1.1
27.7,92,19.2
26.2,100,49.8
25.3,99,24.4
26.6,95,14.7
28.5,98,20.2
27.9,99,20.3
28.9,97,12.0
28.7,94,4.7
31.5,93,10.4
30.2,99,42.7
26.6,99,32.2
28.8,96,6.7
32.4,96,7.2
34.2,93,0.2
34.6,85,0.6
33.8,93,5.1
30.4,93,7.0
29.2,100,15.8
27.7,100,30.1
27.1,100,23.1
26.6,100,21.5
28.4,100,30.4
26.3,100,94.8
30.5,98,2.3
33.0,95,5.2
35.1,96,0.1
32.0,85,2.9
32.5,91,6.4
30.0,93,1.8
31.3,95,9.3
28.9,96,10.7
28.3,100,21.8
26.7,99,97.9
27.2,99,112.6
31.3,89,2.8
33.4,86,0.9
32.6,85,0.7
32.2,86,7.0
29.2,93,14.3
27.8,96,22.1
29.2,96,23.8
28.0,100,17.4
29.2,99,3.9
32.8,96,0.0
33.4,80,0.2
33.9,84,0.2
33.8,89,0.0
33.4,87,0.0
34.3,78,0.4
33.2,90,3.9
32.3,93,0.3
32.0,95,5.4
27.8,98,6.6
27.5,100,14.3
25.2,100,7.9
28.4,99,3.9
30.1,91,9.8
30.5,93,2.1
31.8,97,5.1
32.2,94,1.7
32.6,95,0.7
30.5,95,5.0
30.3,98,10.3
27.8,100,19.4
27.0,100,25.9
25.4,100,56.6
26.7,100,33.3
25.1,100,50.1
25.3,100,74.3
26.1,97,42.6
27.7,91,21.9
30.3,91,14.5
28.9,91,8.2
28.5,93,7.0
28.1,92,6.8
31.0,95,6.9
28.3,99,48.8
25.9,100,114.1
24.8,100,52.4
23.9,100,32.1
25.8,100,17.5
26.7,99,15.4
28.5,93,11.9
29.5,92,8.9
30.5,99,4.2
27.4,98,16.7
27.9,100,14.2
27.7,100,25.9
28.9,97,15.7
30.2,94,3.3
32.3,96,2.9
29.7,97,13.2
29.6,96,4.1
30.9,91,2.3
29.6,89,7.5
31.2,93,7.7
29.8,93,8.1
31.0,95,0.5
33.8,88,0.0
33.2,82,2.6
28.3,99,27.9
24.8,100,46.2
25.4,100,28.3
25.6,100,40.4
26.1,100,31.6
26.2,100,23.7
29.2,98,0.0
29.8,86,0.2
30.3,87,0.2
30.9,93,0.0
30.9,97,0.1
30.1,92,0.8
30.4,92,0.5
28.5,91,1.9
31.3,95,0.0
32.3,87,0.0
31.1,88,0.0
31.3,82,0.0
30.5,83,0.0
29.1,90,8.2
24.5,94,40.6
27.3,89,8.0
30.0,83,0.0
29.8,81,0.0
28.7,83,0.0
28.7,85,0.2
29.2,84,0.7
28.7,85,0.0
28.3,98,0.0
