temp,humidity,rainfall
23.9,85,0.0
25.0,86,0.0
24.5,90,0.0
22.8,98,1.7
21.4,98,0.1
20.7,95,0.0
21.5,97,0.0
22.8,90,0.0
22.2,97,0.0
21.2,97,0.0
21.6,95,0.0
22.9,95,0.0
23.1,93,0.0
23.2,93,0.0
23.8,93,0.0
23.8,87,0.0
23.3,81,0.0
22.2,91,0.0
21.1,91,0.0
22.0,90,0.0
23.4,88,0.0
23.8,89,0.0
22.1,85,0.1
21.5,92,0.7
22.1,92,0.0
22.7,92,0.0
23.3,92,0.0
22.9,90,0.0
23.0,95,0.0
21.4,83,0.1
19.3,87,0.0
22.0,87,0.0
23.9,84,0.0
24.6,84,0.0
24.3,80,0.0
23.3,89,0.0
23.5,91,0.0
23.2,86,0.0
23.4,88,0.0
23.8,87,0.0
23.3,89,0.0
23.7,91,0.0
23.5,93,3.4
21.4,96,1.4
21.5,92,0.0
21.7,94,0.0
23.8,94,0.0
25.0,91,0.0
24.8,90,0.1
23.5,92,1.7
23.6,91,0.0
24.0,96,5.8
24.2,96,0.0
24.8,92,0.0
25.5,93,0.0
25.3,88,0.4
25.6,94,0.6
27.0,96,1.0
27.5,94,0.6
28.1,92,0.0
28.5,90,0.8
27.3,85,0.0
25.5,88,0.0
24.4,87,0.0
24.2,87,0.2
24.9,76,0.0
26.9,74,0.0
28.9,75,0.0
28.9,78,0.0
29.2,80,0.0
29.7,69,0.0
29.4,70,0.0
28.4,70,0.0
29.8,79,0.0
30.6,81,0.0
30.9,73,0.0
29.6,73,0.0
29.5,70,0.0
29.4,77,0.0
31.1,70,0.0
31.8,65,0.0
32.3,66,0.0
31.4,73,0.0
31.6,79,0.1
31.4,77,0.0
29.9,82,0.1
26.8,86,0.5
29.4,87,0.0
30.2,94,5.1
26.9,94,2.0
27.9,95,2.2
25.6,97,27.9
24.2,96,6.2
25.9,98,6.8
26.2,98,7.5
25.1,96,6.2
26.9,92,0.6
27.8,94,2.4
28.7,95,0.5
27.9,93,1.3
28.4,87,0.9
29.5,85,0.0
28.0,87,0.0
30.4,89,0.0
32.0,81,0.0
32.3,77,0.0
31.1,92,10.5
25.5,97,11.8
26.0,96,3.0
28.2,96,4.9
25.2,97,26.3
25.8,97,15.0
27.7,98,33.8
26.0,95,2.0
25.6,94,7.9
26.4,96,8.8
27.7,96,2.1
28.1,96,0.5
26.1,98,10.8
26.3,96,4.8
27.7,98,6.9
27.0,98,1.3
28.6,97,0.5
30.0,97,0.9
29.1,94,2.0
30.0,93,3.9
28.2,96,1.7
27.3,98,2.3
30.1,98,0.1
30.3,98,14.1
29.5,96,3.2
28.9,98,9.9
28.2,97,7.8
29.4,98,9.0
28.5,97,13.6
28.3,98,1.6
27.3,98,3.8
29.1,98,0.1
29.9,94,0.3
30.8,92,0.3
29.5,96,15.3
31.8,96,2.6
30.8,98,13.9
27.9,98,7.9
26.8,96,8.5
27.5,96,11.1
27.4,97,20.0
27.2,98,20.7
25.7,98,30.7
27.9,99,19.9
27.3,99,14.5
29.4,97,7.7
29.7,99,2.2
30.0,98,6.2
30.5,96,1.9
30.3,96,4.0
29.2,95,11.0
28.9,94,4.9
29.7,97,4.3
29.9,99,40.2
24.7,96,58.4
24.4,96,164.4
25.2,98,55.4
28.0,97,48.1
27.9,98,9.1
25.9,98,15.1
26.2,99,27.1
29.3,98,14.3
29.7,99,18.8
29.5,98,5.3
31.8,98,9.8
30.4,98,20.5
30.4,96,6.3
27.4,96,52.8
29.3,96,9.8
31.0,96,11.2
31.3,94,6.5
27.7,96,40.6
31.0,97,8.4
29.0,95,18.4
30.4,95,9.7
31.1,96,3.6
30.9,96,5.7
30.6,97,20.2
27.0,97,32.8
26.2,99,22.1
30.8,99,4.6
29.4,97,16.0
31.2,96,23.6
28.6,95,20.2
29.6,96,2.4
31.0,97,13.8
31.1,95,5.0
30.5,97,15.6
28.5,98,14.5
26.4,96,25.4
26.4,99,4.2
29.9,98,10.9
28.8,95,6.3
28.4,92,1.0
27.7,98,19.3
27.6,98,20.4
29.1,98,28.6
27.7,98,95.5
28.5,97,12.6
30.4,96,1.2
32.7,96,2.0
29.7,95,0.5
31.5,93,4.9
32.4,91,0.0
31.3,87,6.5
25.9,93,36.3
27.5,97,4.8
31.0,95,6.1
29.3,96,6.4
28.3,96,7.4
29.1,98,16.6
29.2,98,14.6
28.4,97,9.3
29.7,99,17.5
30.1,98,12.1
30.1,97,6.0
31.1,99,26.1
29.4,99,32.3
30.1,98,14.6
28.5,96,11.1
29.2,97,28.7
28.2,91,1.6
29.0,95,26.1
28.8,97,51.8
25.9,97,63.4
27.0,97,22.9
27.8,99,15.1
29.7,98,12.5
27.5,98,28.7
29.7,99,11.9
29.2,99,15.5
28.7,99,19.0
27.8,99,12.6
29.1,96,12.2
27.5,94,38.1
28.2,96,16.1
27.2,96,49.4
25.1,97,21.0
26.9,96,5.6
28.0,96,22.2
26.1,98,61.2
29.3,99,9.6
29.1,97,1.5
29.1,96,1.4
29.9,96,1.4
30.0,96,4.6
31.4,97,10.7
27.0,99,8.2
30.1,99,0.1
30.7,99,4.1
29.8,99,8.8
28.6,99,9.5
30.2,98,0.2
31.1,96,0.5
32.7,95,0.5
32.1,93,16.2
27.7,92,2.7
28.5,92,2.8
27.9,96,31.2
27.3,96,13.1
26.3,97,16.7
28.4,96,2.2
28.4,96,1.0
29.4,96,0.1
30.0,95,0.2
30.6,96,0.3
30.6,96,1.7
30.5,97,2.0
30.0,97,2.2
29.2,96,1.8
29.9,97,0.1
30.6,96,1.2
29.8,98,5.0
30.1,98,15.2
26.3,98,15.1
27.4,98,1.9
28.6,97,5.9
27.4,97,7.1
27.8,97,0.6
28.4,97,15.3
25.2,98,18.1
27.1,98,5.3
27.5,97,1.0
27.2,98,4.8
27.5,97,0.0
28.1,97,0.0
27.9,97,0.0
27.4,96,0.9
27.0,98,0.6
26.7,99,5.6
26.3,97,0.0
27.2,97,0.0
27.5,97,0.0
27.1,97,0.0
27.5,96,0.0
27.7,95,0.0
27.2,96,0.0
25.8,97,0.0
26.2,97,3.5
25.8,96,2.4
25.3,96,1.6
24.8,98,0.3
24.9,98,0.4
24.4,96,0.3
24.9,91,0.0
26.1,92,0.0
26.4,93,0.0
26.3,95,0.0
26.0,96,0.0
25.8,95,0.0
25.7,97,0.0
25.3,97,0.0
23.1,93,0.0
23.3,92,0.0
24.2,92,0.0
23.0,96,0.5
25.2,97,0.0
25.8,97,0.0
25.8,96,0.0
25.6,96,0.0
25.3,98,0.0
25.2,98,0.0
25.2,97,0.0
25.0,94,0.0
24.7,96,0.0
24.8,96,0.0
25.0,96,0.0
24.7,96,0.0
23.1,96,0.0
23.9,97,2.8
22.9,97,6.6
20.2,98,3.4
22.0,97,0.0
23.3,97,0.0
23.1,98,0.0
22.8,98,0.0
22.3,97,0.0
21.5,97,0.1
19.8,94,0.3
19.1,95,6.1
21.0,94,0.3
20.9,95,0.1
19.3,96,0.2
20.2,93,0.0
20.3,94,0.0
19.2,94,0.0
18.7,94,0.1
19.1,94,0.0
19.8,92,0.0
20.1,89,0.0
19.5,89,0.0
19.7,89,0.0
19.6,88,0.0
20.4,94,0.0
21.5,93,0.0
22.1,93,0.0
21.3,97,0.0
21.6,97,0.0
22.3,96,0.0
22.3,93,0.0
22.6,95,0.0
22.4,96,0.0
21.8,93,0.0
21.9,94,0.0
21.5,92,0.0
21.5,93,0.0
20.7,95,0.1
19.5,96,2.7
19.3,95,0.2
20.7,94,0.0
21.1,92,0.0
20.6,92,0.0
19.1,92,0.0
19.7,92,0.0
18.2,93,0.0
20.3,94,0.0
20.5,94,0.0
20.8,93,0.0
14.2,94,7.7
18.2,93,0.8
18.8,94,0.7
18.8,95,0.7
19.2,94,0.0
19.3,96,0.0
19.2,97,0.1
17.9,96,3.2
18.2,94,0.0
19.7,93,0.0
19.3,93,0.0
17.9,92,0.0
18.1,91,0.3
19.2,95,0.1
19.7,96,0.0
20.4,96,0.0
22.2,97,0.0
24.0,97,0.0
24.4,97,0.0
25.1,97,0.0
21.5,97,12.0
20.6,97,2.6
21.7,97,1.6
22.3,96,2.0
21.8,95,0.3
22.8,92,0.2
23.2,92,0.0
23.3,90,0.2
24.8,92,0.0
23.8,91,2.0
25.0,92,3.4
23.6,94,4.2
25.8,94,1.5
25.7,95,0.0
25.1,93,0.0
25.6,88,0.0
23.9,91,0.3
26.3,93,0.0
26.6,89,0.0
27.2,88,0.0
27.5,90,1.0
27.3,91,0.2
26.6,91,0.0
27.0,91,0.0
25.8,89,0.0
27.6,94,0.4
27.7,94,0.0
27.0,91,1.6
27.5,91,1.0
27.3,91,2.1
27.2,90,1.4
27.3,90,0.6
27.1,88,0.6
27.5,95,0.0
28.7,96,0.0
29.5,82,0.1
29.9,86,0.6
28.8,89,0.0
28.0,79,0.0
28.0,80,0.8
27.8,92,6.3
26.5,96,10.1
29.1,94,0.0
27.9,85,0.4
30.3,85,0.0
32.4,85,0.0
32.1,78,0.0
27.9,89,2.7
24.5,98,3.3
26.1,97,2.1
28.2,92,2.2
27.5,97,8.2
25.4,98,2.3
26.9,98,0.2
28.7,98,0.6
28.2,97,2.6
27.9,99,19.4
27.9,98,9.1
28.9,97,14.2
31.5,96,1.4
31.1,93,13.6
28.6,94,29.9
29.8,93,12.1
29.8,92,2.1
31.5,92,0.0
30.7,95,6.3
25.2,94,10.9
24.1,96,11.8
26.1,97,12.6
25.8,98,48.0
24.6,98,51.1
23.4,98,125.7
23.4,98,49.0
24.7,97,8.1
26.2,96,24.8
30.6,95,2.3
30.9,88,1.2
28.3,98,35.0
27.1,97,10.2
30.2,97,1.4
30.4,95,11.6
27.1,94,6.5
27.3,92,6.7
26.9,98,3.5
27.3,97,1.0
28.3,96,2.6
28.0,98,6.6
27.3,96,8.4
26.9,97,5.2
28.7,98,0.2
29.8,95,0.2
30.1,95,0.3
29.7,97,5.2
30.2,97,2.4
27.7,98,29.2
27.7,96,24.8
25.3,98,84.5
27.5,98,43.7
27.7,98,20.5
27.1,98,24.7
27.4,96,1.3
28.5,96,9.1
25.4,94,27.2
27.8,97,1.8
30.4,96,0.1
31.0,98,8.4
29.7,98,11.2
28.8,98,2.2
29.9,98,7.6
27.6,98,5.8
30.2,99,13.8
29.7,98,1.9
27.8,97,3.8
30.0,97,1.4
30.5,95,1.0
30.6,94,1.2
31.2,96,5.1
30.5,99,9.4
29.0,98,12.7
27.6,97,16.4
27.7,96,14.4
27.6,96,18.8
31.6,99,21.2
29.7,98,5.2
27.4,98,8.5
28.2,96,8.2
29.4,96,3.9
30.0,99,8.1
28.0,98,15.8
28.7,98,42.9
27.0,97,27.5
28.2,95,12.4
27.8,95,7.9
27.7,97,13.8
28.4,97,8.4
27.5,95,22.8
29.4,98,3.1
30.5,98,6.4
30.0,98,15.7
30.9,99,3.9
30.5,98,2.9
30.3,98,23.7
30.2,98,14.5
29.6,97,10.1
29.9,97,8.5
30.3,96,8.5
28.5,94,15.1
29.3,94,4.3
31.1,87,0.0
30.8,98,7.7
31.1,97,14.4
29.4,96,15.4
29.6,96,6.1
29.5,96,0.4
30.8,96,5.6
29.9,96,5.8
28.1,96,11.0
29.5,96,7.6
28.5,93,4.6
26.8,95,37.4
27.0,94,8.1
29.0,96,8.9
25.8,97,18.2
26.6,96,15.5
26.8,96,16.5
26.5,96,38.7
25.5,96,41.6
24.6,96,56.3
27.3,96,5.2
28.6,98,9.3
28.6,98,20.6
28.9,98,11.8
31.0,98,17.7
31.2,98,9.9
30.8,98,17.9
30.1,96,8.7
32.9,96,2.1
31.1,99,21.9
29.7,98,14.6
30.1,99,18.6
29.0,99,6.4
31.4,97,2.9
29.6,96,1.4
29.9,95,4.5
31.0,95,5.5
30.9,95,0.2
30.7,98,19.9
30.5,98,19.3
31.2,98,1.9
31.2,97,0.1
32.4,96,6.1
31.2,95,8.6
30.3,95,2.0
31.0,95,0.4
31.4,95,4.2
31.7,93,0.0
29.8,96,0.2
31.9,97,0.0
33.7,98,43.4
30.9,98,0.6
31.7,97,4.4
30.3,97,6.4
30.2,98,7.1
30.4,98,9.0
28.3,97,15.2
29.6,96,21.4
29.1,97,37.6
30.4,98,1.8
30.6,97,3.0
30.9,98,1.6
30.2,97,3.3
30.9,99,6.4
28.7,97,6.8
28.9,99,34.0
29.8,98,24.4
28.9,99,11.0
30.3,99,15.8
29.2,98,14.9
29.2,98,21.1
29.1,97,1.5
29.7,98,7.2
30.4,99,12.5
28.0,99,5.9
28.3,99,21.1
27.4,98,21.2
26.1,99,16.6
28.6,99,12.0
29.5,98,3.5
27.7,99,13.5
28.5,99,14.7
29.1,98,17.1
29.5,98,3.8
30.7,98,0.0
28.9,99,17.8
29.5,98,4.1
29.7,98,8.0
30.3,98,3.9
30.6,98,3.3
30.3,97,1.4
31.1,98,2.1
30.2,97,6.2
29.6,98,13.8
29.1,98,3.7
28.9,98,3.3
28.2,97,10.0
26.5,97,5.8
26.3,96,67.3
28.3,98,3.7
27.9,98,0.5
29.5,97,0.0
29.7,96,0.0
30.2,97,0.0
30.2,95,0.0
29.5,96,0.0
28.9,96,0.0
28.3,96,0.0
28.0,93,0.0
28.3,92,0.0
29.2,93,0.0
28.9,93,0.8
28.1,96,0.4
25.4,97,12.5
26.1,96,0.0
27.4,97,0.3
27.5,97,0.8
28.4,95,0.0
28.7,95,0.0
28.9,95,0.0
28.9,96,0.0
26.3,97,0.4
24.6,98,0.8
23.2,96,2.7
26.2,96,0.2
26.8,96,0.3
27.0,96,0.0
26.9,96,0.0
26.7,95,0.1
26.3,96,0.3
25.7,95,0.1
25.6,95,0.0
26.1,95,0.0
26.6,95,0.0
26.3,95,0.0
25.9,94,0.0
25.6,95,0.0
25.6,95,0.0
25.3,94,0.0
24.8,94,0.0
24.5,95,0.0
24.6,95,0.0
24.0,96,0.0
24.7,95,0.0
24.5,95,0.0
23.9,96,0.2
24.1,97,0.4
24.5,96,0.0
24.4,96,0.2
24.2,92,0.1
24.9,92,0.0
25.2,95,0.0
25.6,95,0.0
26.0,93,0.0
25.5,95,0.0
25.1,95,0.0
24.6,95,0.0
24.5,96,0.0
24.4,96,0.0
23.8,96,0.0
23.7,95,0.0
23.6,94,0.0
23.9,93,0.0
24.7,93,0.0
25.0,92,0.0
23.5,94,0.2
22.0,92,0.1
21.0,95,0.0
23.2,97,0.0
24.5,96,0.0
24.1,93,0.0
22.3,94,0.3
23.3,95,0.2
22.2,98,6.5
20.9,99,0.1
22.4,96,0.0
23.9,94,0.0
23.9,94,0.0
24.0,91,0.0
23.5,87,0.1
24.6,87,0.0
24.4,90,0.6
22.0,94,2.4
22.3,97,0.2
23.0,89,0.0
22.8,86,0.0
22.5,92,0.0
22.5,89,0.2
20.5,89,0.1
20.6,98,0.3
20.1,89,0.9
20.2,90,0.2
21.2,80,0.0
21.8,90,0.0
21.9,91,0.0
22.2,92,0.0
23.0,82,0.0
23.6,86,0.0
23.7,92,0.0
24.4,85,0.0
25.0,91,0.0
25.0,94,0.0
24.9,87,0.0
25.2,86,0.0
26.5,89,0.0
25.8,93,0.1
21.6,93,4.9
23.4,98,0.0
23.6,94,0.8
23.0,94,6.7
22.1,95,1.0
