temp,humidity,rainfall
24.7,95,0.0
24.3,96,10.9
23.1,99,1.7
23.0,98,0.0
20.8,90,0.0
20.5,96,0.0
20.1,96,0.0
21.1,100,0.0
21.8,95,0.0
19.9,95,0.0
17.6,95,0.0
18.8,99,0.0
20.0,99,0.0
21.6,99,0.0
22.5,99,0.0
21.8,97,0.0
20.3,94,0.0
20.5,96,0.0
20.4,99,0.0
19.5,100,0.0
20.8,99,0.0
22.2,100,0.0
23.5,89,0.0
23.4,94,0.0
22.3,95,0.0
21.0,100,0.8
21.9,100,3.3
23.1,96,5.4
19.8,91,4.8
20.1,92,0.0
19.9,91,0.0
20.4,100,0.0
22.3,100,0.0
25.1,99,0.0
26.1,93,0.0
22.5,93,0.0
21.7,95,0.0
23.0,96,0.0
25.2,95,0.3
24.1,95,0.9
25.2,94,0.0
24.5,91,0.0
24.7,91,0.1
24.2,92,0.0
24.6,94,0.1
24.9,84,1.1
25.6,94,0.2
26.3,97,0.0
26.5,98,1.4
26.4,100,0.0
28.2,95,0.0
29.0,94,0.0
29.0,97,0.0
29.1,94,0.0
28.6,89,0.0
29.5,96,0.0
30.8,95,1.3
29.9,78,0.0
30.7,80,0.6
28.8,82,2.6
21.1,99,9.5
25.9,99,0.0
25.5,96,0.0
25.7,78,0.0
27.0,82,0.0
28.6,82,0.0
29.9,83,0.0
31.5,85,0.0
31.8,68,0.0
29.5,72,0.0
30.0,81,0.0
31.9,73,0.0
32.2,82,0.0
28.5,89,0.0
28.7,93,0.3
30.7,88,0.0
30.6,72,0.0
30.2,71,0.0
30.8,75,0.0
31.8,74,0.0
33.7,70,0.0
34.2,78,0.0
33.9,73,0.0
35.1,77,0.0
35.3,76,0.0
33.1,84,1.5
32.9,84,0.0
34.5,86,0.0
31.4,95,8.6
30.8,94,0.0
33.4,87,0.0
36.0,88,0.0
37.0,80,0.3
36.1,83,3.5
32.6,84,0.3
32.7,88,0.0
33.0,89,0.1
35.7,84,0.0
35.9,53,0.0
36.0,60,0.0
37.5,75,0.0
31.7,80,1.3
32.3,91,4.1
32.5,91,1.5
30.8,89,0.6
34.5,89,0.1
34.5,80,3.5
35.4,81,0.0
35.8,84,0.0
34.6,85,0.0
38.6,87,0.0
39.6,89,0.0
37.6,87,1.7
35.2,91,0.7
30.3,88,0.5
31.2,85,1.0
32.5,85,0.1
32.6,86,0.4
32.5,88,0.2
34.1,84,0.0
36.2,85,0.0
37.7,84,0.0
39.2,87,0.0
39.8,70,0.0
40.1,65,0.0
40.1,72,0.0
38.4,79,1.3
36.5,81,0.0
37.1,76,0.1
38.2,81,0.0
37.2,82,1.3
36.5,83,0.0
38.0,76,0.0
38.7,76,0.0
38.2,60,0.1
35.8,82,4.0
35.8,80,0.1
36.8,86,1.5
33.9,87,0.2
36.1,86,0.0
41.7,85,0.0
42.9,71,0.0
42.7,90,0.0
42.0,94,0.0
38.9,84,0.0
39.0,84,0.0
39.2,84,0.0
38.5,82,0.0
39.6,83,0.0
38.0,83,0.0
41.0,86,0.0
41.3,89,0.0
39.7,71,0.0
40.8,70,0.0
38.1,76,0.7
39.4,77,0.0
42.1,59,0.0
42.1,56,0.0
42.8,78,0.0
42.7,80,0.0
41.3,78,0.0
36.3,79,0.0
37.2,95,14.6
31.6,95,1.9
34.4,91,0.6
34.8,88,0.4
35.6,86,0.0
36.6,87,0.9
37.2,89,0.2
37.1,74,0.0
38.2,71,0.3
36.4,77,0.0
31.3,87,5.8
31.2,91,1.8
35.2,89,0.2
34.0,86,1.5
34.2,94,6.9
26.9,95,86.1
29.5,96,11.3
32.6,95,11.5
34.1,95,13.4
34.3,96,9.2
34.3,94,8.1
34.5,93,4.1
34.7,86,1.2
33.7,95,15.2
28.5,97,28.3
28.1,97,15.2
32.4,96,3.3
31.5,96,7.8
26.3,94,24.8
28.9,94,19.6
32.1,92,0.7
33.0,96,7.9
33.5,93,2.9
30.8,97,48.9
27.7,97,31.4
30.5,97,24.4
31.6,96,2.3
32.1,95,2.0
29.5,88,1.0
31.7,96,2.3
29.1,95,4.2
31.2,94,6.1
29.3,96,11.2
31.5,97,2.5
33.6,96,2.1
33.4,93,0.1
33.3,78,0.4
33.2,81,1.2
32.7,90,1.4
30.5,95,18.1
29.3,95,8.4
28.4,93,8.0
31.9,93,1.6
32.9,93,0.1
33.0,91,0.0
30.7,95,3.7
32.7,97,11.5
32.9,97,11.4
33.5,96,11.9
32.9,97,16.1
32.6,95,8.2
