temp,humidity,rainfall
24.3,88,0.0
25.8,90,0.3
23.7,95,2.6
25.3,95,0.4
25.0,95,0.0
25.3,80,0.0
25.6,84,0.0
25.0,84,0.0
23.4,87,0.0
24.4,84,0.0
24.2,84,0.0
25.0,85,0.0
24.1,89,0.0
25.0,90,0.0
25.7,85,0.0
25.7,84,0.0
24.9,82,0.0
24.3,83,0.0
24.1,78,0.0
25.3,81,0.0
26.3,81,0.0
27.0,84,0.0
27.1,79,0.0
27.5,86,0.0
28.7,92,0.0
28.4,85,0.0
28.6,87,0.0
27.5,89,0.0
27.5,90,0.0
25.8,84,0.0
25.3,70,0.0
26.7,72,0.0
28.3,76,0.0
29.4,78,0.0
29.9,78,0.0
28.8,89,0.0
28.6,81,0.0
29.3,81,0.0
28.9,74,0.0
27.7,74,0.0
29.0,78,1.0
28.2,84,0.1
26.3,97,1.7
29.4,99,0.0
29.0,74,0.0
32.0,67,0.0
30.9,76,0.0
33.1,63,0.0
32.7,73,0.0
31.3,60,0.0
31.2,68,0.2
31.8,73,0.0
33.5,70,0.0
33.0,68,0.0
33.9,61,0.0
34.0,72,0.0
34.2,62,0.0
33.3,59,0.0
33.3,72,0.0
29.9,78,1.0
24.5,97,33.2
27.3,98,2.6
27.9,87,0.0
27.9,78,0.0
28.8,73,0.0
29.8,73,0.0
31.3,80,0.0
32.1,93,3.9
31.9,88,0.2
32.5,80,0.0
32.6,68,0.0
32.8,76,0.4
32.2,82,0.0
33.7,77,0.0
32.2,78,0.0
33.0,83,0.0
31.7,72,0.0
32.4,60,0.0
33.7,60,0.0
34.8,60,0.0
35.5,64,0.0
37.0,64,0.0
36.8,54,0.0
36.7,48,0.0
37.4,69,0.0
37.8,52,0.0
36.4,63,0.0
36.8,69,1.3
29.6,94,0.7
34.5,94,0.0
36.3,63,0.0
37.3,64,0.0
38.5,53,0.0
37.9,52,0.0
37.6,61,0.0
36.6,57,0.0
37.8,69,1.6
36.5,83,7.6
35.3,86,0.7
36.6,83,0.0
30.2,90,2.9
