temp,humidity,rainfall
21.3,87,0.3
17.1,96,3.9
17.9,97,0.1
19.0,98,0.0
20.6,92,0.0
20.5,93,0.0
18.1,98,0.0
19.5,99,0.0
18.7,100,0.0
18.0,99,0.0
18.0,100,0.0
17.7,100,0.0
17.5,99,1.5
16.7,100,2.6
18.2,99,0.0
19.4,96,0.0
20.3,98,0.0
20.3,97,0.0
19.7,99,0.0
19.1,98,0.0
16.3,90,4.9
15.6,93,15.9
17.9,95,0.0
17.3,97,0.0
17.5,90,0.0
18.0,93,0.0
17.6,92,0.0
17.1,94,0.0
17.7,92,0.0
18.7,90,0.0
19.9,92,0.0
20.6,93,0.0
21.6,93,9.8
21.8,100,4.6
19.8,100,0.0
20.4,96,0.0
20.7,94,0.0
22.0,90,0.0
22.3,91,2.1
23.0,91,0.0
22.0,91,0.0
21.9,90,0.0
22.1,92,0.0
24.2,88,0.0
26.4,94,0.0
25.4,96,0.0
26.1,92,0.3
26.4,93,1.3
26.0,93,12.0
26.7,93,1.6
27.0,95,0.0
26.5,96,0.0
27.0,97,0.0
26.4,98,0.0
27.1,99,2.4
27.1,98,2.9
24.5,99,0.0
23.6,100,0.0
25.4,77,0.2
19.2,97,26.8
19.4,99,19.1
19.5,99,0.8
21.5,93,0.0
23.7,93,0.0
24.9,93,0.0
25.4,95,10.5
24.0,95,4.8
22.3,98,0.0
23.0,92,0.0
24.6,93,0.0
26.4,93,0.0
25.8,99,2.9
26.1,99,4.1
22.5,97,21.5
22.6,99,5.8
25.1,97,0.0
24.7,93,0.0
26.3,94,0.0
27.7,92,0.0
29.2,94,0.0
30.2,89,0.0
31.0,86,0.0
32.2,92,0.0
32.5,89,0.0
33.5,85,0.0
33.7,83,0.0
34.1,88,0.0
32.1,80,0.5
27.1,94,5.0
28.0,95,0.1
30.8,89,0.6
33.3,84,0.4
30.0,93,15.4
25.1,96,12.8
28.4,98,0.0
29.9,92,0.0
27.7,89,5.5
30.0,94,0.3
31.0,89,0.0
32.9,84,0.0
34.0,80,0.1
29.2,95,6.5
29.2,95,0.6
29.7,92,0.6
31.6,90,0.0
31.4,88,0.0
34.8,90,0.0
37.1,79,0.0
39.4,76,0.0
38.6,65,0.1
38.5,71,0.0
38.2,49,0.0
38.7,45,0.0
39.3,53,0.0
36.9,63,0.3
34.4,65,0.0
36.4,70,0.9
37.2,75,3.9
36.6,71,0.0
38.0,73,1.1
36.4,60,0.0
37.2,56,0.0
38.0,50,0.0
38.8,52,0.0
39.9,54,0.0
42.4,49,0.0
42.7,44,0.0
42.0,30,0.0
40.7,42,0.0
41.7,48,0.0
39.5,59,0.9
36.3,73,1.2
35.6,81,5.8
35.8,83,1.3
36.5,85,3.5
35.9,87,0.0
37.9,70,0.0
41.2,58,0.3
41.4,52,1.4
40.2,47,0.0
41.7,44,0.0
42.5,37,0.0
43.1,35,0.0
42.8,41,0.0
44.0,27,0.0
43.9,32,0.0
41.8,29,0.0
41.1,37,0.0
41.7,41,0.0
41.4,43,0.0
41.4,46,0.1
39.8,48,0.2
37.7,62,0.3
37.9,68,0.5
37.4,68,0.0
37.9,57,0.1
39.0,55,0.0
40.3,52,0.0
42.4,52,0.0
42.6,41,0.0
41.3,46,0.5
40.2,49,0.1
40.5,54,0.0
40.1,82,3.3
32.8,91,7.2
33.9,91,1.2
36.5,82,0.0
37.5,81,0.4
39.0,65,0.0
39.1,64,0.1
37.1,73,1.1
36.4,79,1.7
36.9,83,0.6
38.1,81,0.0
36.3,96,26.1
27.1,96,23.3
34.7,91,0.0
35.9,85,0.0
37.2,85,0.4
33.8,87,0.0
32.8,84,0.4
34.8,89,0.8
35.9,87,0.6
37.1,81,0.5
35.8,80,0.4
37.3,91,12.3
32.6,96,13.0
31.4,97,12.2
31.9,96,18.9
31.7,96,22.8
28.2,95,62.4
28.0,94,35.1
26.8,96,3.8
32.0,94,1.6
32.9,93,0.8
34.7,83,0.0
34.2,97,11.8
31.2,97,25.7
32.7,95,5.3
32.2,95,19.2
30.7,97,10.7
32.0,95,3.4
31.9,89,1.8
32.1,86,0.3
31.5,91,5.6
32.1,92,3.2
30.9,87,1.6
30.7,87,0.0
31.1,88,0.2
29.6,87,0.0
30.1,89,2.1
30.3,89,0.7
29.3,95,5.4
31.1,98,2.2
32.9,96,0.7
33.0,96,2.8
32.2,97,5.9
31.9,97,12.2
32.2,99,20.8
27.5,99,29.8
28.3,99,38.7
31.2,98,9.4
29.3,98,8.2
31.6,95,0.4
33.1,96,1.3
32.0,96,5.6
30.4,98,12.5
29.9,99,5.1
32.6,98,1.0
33.6,95,4.0
32.9,94,0.3
31.9,79,0.0
31.8,83,0.3
31.3,97,6.0
32.4,96,1.7
32.8,88,0.4
33.6,86,0.0
33.9,91,0.4
33.2,96,1.5
33.3,96,0.4
33.8,95,0.0
34.3,93,0.2
34.2,83,0.0
34.5,83,0.0
33.8,70,0.0
34.4,78,0.0
34.8,86,0.0
34.7,80,0.0
34.7,74,0.0
34.7,83,0.0
35.1,79,0.0
35.3,87,0.0
