temp,humidity,rainfall
25.8,100,2.2
26.2,100,1.6
27.6,100,0.0
29.4,99,0.0
31.7,97,0.0
31.8,94,0.0
31.3,95,0.0
30.8,98,0.0
32.3,98,0.0
32.6,77,0.0
32.3,74,0.0
32.0,75,0.0
32.0,89,0.0
31.6,94,0.0
31.1,96,0.0
32.2,92,0.0
32.4,95,0.0
32.3,97,0.0
31.7,96,0.0
31.1,96,0.0
30.9,94,0.0
29.9,96,0.0
31.0,99,0.0
31.8,99,0.0
32.9,97,0.0
32.1,94,0.0
32.3,98,0.0
31.8,99,0.0
32.1,99,0.0
33.8,90,0.0
34.4,81,0.0
33.6,90,0.0
34.5,87,0.0
34.0,72,0.0
34.5,64,0.0
34.2,80,0.0
33.4,95,0.0
32.3,90,0.0
31.6,92,0.0
33.0,92,0.0
33.5,97,0.0
33.7,96,0.0
34.1,88,0.0
33.6,96,0.0
34.2,99,0.0
33.5,99,0.0
34.6,100,0.0
32.2,100,0.0
31.3,100,0.0
30.1,99,0.0
32.5,99,0.0
35.3,98,0.0
35.1,87,0.0
34.3,90,0.0
34.7,98,0.0
33.8,99,0.0
32.1,100,0.0
31.6,100,0.0
29.9,97,0.2
25.1,98,52.7
27.5,97,2.4
27.7,95,0.0
27.3,95,0.0
29.1,99,0.0
31.2,98,0.0
31.8,99,0.0
31.5,100,0.0
31.0,99,1.0
32.5,97,0.2
34.7,94,0.0
35.0,98,0.0
32.3,100,0.0
30.8,99,0.0
31.3,98,0.0
31.9,100,0.0
34.5,93,0.0
32.7,98,0.0
31.2,99,0.0
33.4,99,0.0
33.5,98,0.0
33.3,99,0.0
32.2,99,0.1
33.0,99,0.2
33.6,99,0.2
33.0,97,0.1
32.5,96,0.6
32.9,98,0.0
33.0,96,0.5
34.2,97,1.3
32.1,99,3.6
33.0,99,0.0
31.8,94,0.0
32.3,92,0.0
34.5,93,0.0
35.3,91,0.0
33.5,96,0.0
31.7,97,0.0
31.4,95,0.0
31.2,97,0.0
31.8,94,0.0
31.5,92,0.0
32.1,93,0.0
32.6,99,0.0
32.8,98,0.0
32.8,98,0.0
33.1,99,0.0
33.1,99,1.5
33.7,97,0.1
34.0,97,0.0
33.3,96,0.1
33.4,93,0.0
32.9,95,0.1
32.7,94,1.5
33.0,95,0.3
32.3,96,0.0
32.0,97,0.0
33.2,97,0.0
32.7,94,0.0
32.6,92,0.0
33.3,89,0.0
32.6,92,0.0
32.9,88,0.0
33.5,91,0.0
33.6,91,0.0
34.0,96,1.5
33.5,98,0.2
33.1,93,2.4
33.4,94,0.0
33.5,94,0.6
34.9,95,0.2
34.0,94,1.1
33.3,93,2.4
31.1,96,9.5
31.1,96,4.5
30.0,98,11.5
31.0,98,7.3
30.0,97,2.6
31.0,98,0.3
31.0,92,0.6
31.4,89,0.0
30.9,89,0.0
31.8,91,0.1
31.6,95,1.2
32.2,95,0.1
31.9,93,1.2
32.0,91,0.1
31.7,89,0.1
32.6,91,0.0
31.6,94,0.1
34.6,94,0.0
31.7,94,0.7
30.4,93,2.8
29.8,93,1.7
30.9,94,1.8
32.3,96,3.7
32.2,96,1.7
32.2,96,1.4
30.1,92,12.1
28.7,97,22.4
28.4,97,15.1
30.2,94,7.6
27.9,97,20.8
27.0,97,30.3
25.7,97,67.3
