temp,humidity,rainfall
24.0,80,0.2
23.2,87,0.0
25.2,92,0.0
26.2,87,0.0
25.2,77,0.0
26.6,84,0.0
26.4,88,0.0
27.5,90,0.0
27.2,76,0.0
27.6,76,0.0
28.3,73,0.0
28.6,83,0.0
27.4,84,0.0
25.0,79,0.0
26.5,62,0.0
26.5,74,0.0
25.8,69,0.0
25.6,64,0.0
26.8,59,0.0
27.5,76,0.0
25.6,98,3.1
25.6,99,0.0
25.3,84,0.0
25.2,78,0.0
25.5,76,0.1
24.2,83,0.0
24.2,76,0.0
24.0,65,0.0
25.4,70,0.0
26.5,59,0.0
27.5,75,0.0
29.0,77,0.0
28.7,90,0.0
28.5,92,0.0
29.0,54,0.0
28.9,65,0.0
29.7,64,0.0
29.5,54,0.0
28.6,54,0.0
29.0,78,0.0
29.4,68,0.0
29.5,79,0.0
29.8,40,0.0
30.2,49,0.0
31.4,78,0.0
31.2,89,0.0
32.4,90,0.0
31.2,87,0.0
31.9,91,0.0
32.3,81,0.0
32.7,82,0.0
33.8,67,0.0
35.1,67,0.0
34.7,67,0.0
32.9,71,0.0
28.9,61,0.0
27.6,45,0.0
28.4,64,0.0
29.9,74,0.0
22.0,98,23.3
24.0,94,0.0
24.2,86,0.0
26.5,81,0.0
27.8,83,0.0
29.8,84,0.0
31.2,79,0.0
30.2,67,0.0
30.2,46,0.0
30.7,60,0.0
33.3,63,0.0
33.2,69,0.9
30.7,81,0.3
30.4,95,3.3
29.7,96,0.1
28.9,77,0.0
31.2,60,0.0
32.0,61,0.0
33.3,56,0.0
34.8,56,0.0
36.2,55,0.0
38.0,66,0.0
38.6,47,0.0
38.7,45,0.0
39.2,46,0.0
39.0,60,0.0
38.6,62,2.2
38.8,57,0.0
34.8,53,0.0
36.0,67,0.0
35.1,67,0.0
36.0,64,0.0
37.3,80,0.0
36.2,82,0.0
34.5,80,0.0
34.0,87,0.0
35.2,76,0.0
35.8,66,0.0
37.0,58,0.0
38.2,61,0.0
37.5,80,0.0
36.0,85,1.3
32.7,86,0.3
33.5,81,0.0
33.6,79,0.0
34.8,62,0.0
37.2,70,0.0
39.6,63,0.0
41.5,47,0.0
41.2,58,0.0
41.7,45,0.0
41.6,36,0.0
40.2,33,0.0
38.9,66,0.0
39.3,68,0.0
38.7,76,0.0
39.8,79,0.0
41.2,76,0.0
41.4,80,0.0
41.2,72,0.0
41.3,76,0.0
40.8,74,0.0
42.2,62,0.0
41.1,53,0.0
41.6,57,0.0
41.7,52,0.0
39.8,62,0.0
40.7,66,0.0
40.3,75,0.0
40.5,59,0.0
39.7,71,0.0
39.8,76,0.0
38.6,80,0.0
39.3,70,0.0
39.0,73,0.0
40.5,55,0.0
42.6,50,0.0
42.6,44,0.0
42.5,65,0.0
41.9,80,0.0
40.9,81,0.0
41.2,79,0.0
41.5,80,0.0
42.0,82,0.0
41.5,77,0.0
40.9,76,0.0
41.2,80,0.0
40.3,85,0.0
41.0,83,0.0
41.4,77,0.0
41.7,70,0.0
41.5,80,0.0
40.5,79,0.0
38.8,75,0.0
37.8,70,0.0
39.3,72,0.0
41.3,50,0.0
41.7,54,0.0
41.5,70,0.0
36.3,75,1.0
38.2,77,0.0
38.2,75,0.2
37.0,78,0.1
38.4,79,0.0
37.8,79,0.7
37.4,80,0.9
37.1,85,0.4
36.8,86,0.6
36.2,87,0.3
37.2,86,0.2
36.2,89,3.2
37.4,89,0.0
38.0,82,0.8
35.0,84,6.2
33.2,93,8.6
27.9,93,19.8
33.2,90,0.4
34.5,89,0.0
35.3,88,0.0
34.8,90,0.0
34.8,84,0.0
36.3,80,0.0
36.8,79,0.0
36.9,80,0.0
38.0,78,0.0
38.1,79,0.0
37.7,78,0.1
36.4,79,0.3
36.6,79,0.0
34.7,79,0.6
36.9,79,0.2
37.5,79,0.3
35.7,77,0.1
36.9,74,0.0
36.2,76,0.0
37.7,75,0.0
36.9,73,0.2
37.5,77,0.0
36.9,77,0.0
34.8,75,0.4
30.5,87,1.9
31.8,90,5.8
30.7,97,15.2
27.2,97,97.8
31.8,97,10.2
32.1,96,9.4
29.0,95,9.1
25.3,96,68.0
25.4,94,106.9
25.1,93,145.1
28.8,92,7.4
30.0,89,2.3
30.4,85,1.7
30.2,85,1.0
29.7,87,0.9
30.2,89,0.8
30.5,92,0.2
30.0,88,0.9
30.5,89,0.6
31.5,94,0.1
31.0,92,0.0
31.3,93,0.0
31.2,93,0.9
31.2,94,0.2
30.6,97,13.6
29.1,96,4.0
30.4,97,9.4
31.0,95,6.0
31.5,91,1.0
31.9,90,0.4
31.0,91,0.8
31.2,92,0.3
30.1,90,0.9
31.5,89,0.6
31.0,90,1.2
31.5,89,0.6
30.9,87,0.7
31.0,88,0.9
31.1,92,0.7
32.2,93,0.1
32.1,92,0.0
31.9,91,0.4
31.4,85,0.1
32.1,87,0.0
32.5,88,0.0
31.9,93,0.0
31.6,94,0.1
32.7,95,0.0
32.2,84,0.0
32.6,87,0.0
31.7,89,0.0
32.7,90,0.3
33.3,88,0.4
34.0,86,0.6
35.5,79,0.3
36.2,81,0.0
35.2,87,0.0
35.3,78,0.0
33.9,79,0.0
34.8,78,0.0
35.8,75,0.0
35.8,91,16.5
31.5,87,1.8
28.5,91,4.4
27.9,96,9.0
31.5,94,2.6
31.0,96,0.0
30.7,98,0.0
31.0,98,0.0
31.2,97,0.0
31.5,96,0.0
32.9,93,0.0
35.0,84,0.0
35.5,75,0.0
36.3,77,0.0
37.0,93,0.0
36.3,96,0.0
35.6,92,0.0
35.8,86,0.0
36.7,73,0.0
36.8,70,0.0
37.2,72,0.0
37.0,81,0.0
36.1,94,0.0
35.5,94,0.0
35.5,88,0.0
36.2,80,0.0
37.0,81,0.0
37.4,66,0.0
36.7,55,0.0
36.8,62,0.0
37.0,75,0.0
36.5,76,0.0
36.0,72,0.1
36.0,75,0.1
36.3,73,0.0
35.9,73,0.0
35.5,67,0.0
35.1,73,0.0
34.9,76,0.0
34.5,71,0.0
34.2,76,0.0
30.9,48,0.0
30.8,57,0.0
30.9,58,0.0
32.2,59,0.0
33.6,61,0.0
34.0,63,0.0
34.3,73,0.0
34.0,68,0.0
33.5,66,0.0
33.2,71,0.0
33.2,62,0.0
33.4,70,0.0
33.5,69,0.0
34.0,58,0.0
34.7,62,0.0
34.5,68,0.0
34.0,68,0.0
33.5,74,0.0
33.0,76,0.0
32.8,53,0.0
32.4,47,0.0
32.3,48,0.0
32.1,51,0.0
32.5,50,0.0
33.2,59,0.0
32.8,68,0.0
33.2,70,0.0
33.2,69,0.0
33.2,65,0.0
28.5,48,0.0
28.5,52,0.0
30.2,59,0.0
32.0,74,0.0
32.2,82,0.0
30.6,65,0.0
30.0,56,0.0
30.1,66,0.0
31.0,78,0.0
31.4,79,0.0
31.3,66,0.0
31.3,68,0.0
31.8,70,0.0
29.6,64,0.0
27.0,70,0.0
26.2,54,0.0
26.4,52,0.0
26.3,48,0.0
