temp,humidity,rainfall
22.5,95,0.0
19.6,100,1.4
18.8,100,0.0
18.9,100,0.0
20.2,93,0.0
20.2,95,0.0
19.3,98,0.0
19.1,100,0.0
18.0,100,0.0
18.0,99,0.0
19.1,100,0.0
18.0,99,0.0
19.1,100,0.6
16.9,97,2.6
17.9,98,0.0
19.8,95,0.0
20.5,96,0.0
20.4,96,0.0
19.9,94,0.0
20.0,96,0.1
17.6,92,10.9
17.0,94,6.9
17.1,97,0.2
17.9,97,0.0
17.4,95,0.0
17.7,96,0.0
17.1,94,0.0
16.8,93,0.0
17.4,95,0.0
18.8,91,0.0
20.0,90,0.0
20.9,92,0.0
21.9,92,23.0
20.1,100,0.0
18.7,100,0.0
20.3,96,0.0
20.5,89,0.0
21.8,90,0.0
21.7,92,1.7
22.3,94,0.0
21.5,94,0.0
21.0,88,0.0
22.2,90,0.0
24.5,89,0.0
26.6,94,0.0
25.4,94,0.0
27.3,87,0.0
26.4,94,0.0
25.6,96,7.7
27.5,95,10.9
27.6,97,0.0
25.8,98,0.0
27.0,94,0.0
26.4,97,0.0
27.6,96,0.9
28.0,89,0.1
23.4,79,0.0
22.6,88,0.0
24.1,76,0.3
18.8,96,28.7
19.9,96,6.5
20.5,96,0.0
21.5,92,0.0
24.0,92,0.5
24.6,94,0.0
24.7,96,2.5
25.4,99,0.1
21.8,100,0.0
23.4,92,0.0
25.0,91,0.0
26.6,90,0.0
27.2,96,0.6
26.7,96,6.7
22.1,97,4.4
22.0,99,6.9
24.4,100,0.0
25.2,88,0.0
26.9,90,0.0
28.3,92,0.0
29.9,94,0.0
31.4,87,0.0
32.8,86,0.0
34.0,93,0.0
34.4,90,0.0
34.8,92,1.8
35.0,84,0.0
35.8,84,0.0
34.2,82,1.6
29.0,93,15.6
28.1,94,0.1
31.9,93,0.4
33.8,75,0.5
30.0,94,4.0
27.2,95,3.6
30.2,95,0.5
31.0,81,0.0
28.5,88,3.6
30.6,87,0.0
32.2,91,0.0
34.2,83,0.0
35.8,81,2.0
30.1,83,0.4
32.4,84,0.2
32.5,85,0.0
34.3,81,0.0
33.2,89,0.5
36.1,93,0.0
38.5,76,0.9
41.0,73,0.0
41.2,48,0.0
39.0,56,0.0
38.9,53,0.0
40.0,44,0.0
40.4,48,0.0
39.8,57,0.0
36.8,60,0.0
38.0,78,2.8
38.1,68,0.2
38.2,75,0.0
40.2,63,0.0
37.0,63,0.0
37.9,47,0.0
39.0,43,0.0
39.9,43,0.0
41.8,42,0.0
43.7,39,0.0
43.5,35,0.0
42.2,27,0.0
42.0,27,0.0
41.6,39,0.0
40.7,74,1.5
