temp,humidity,rainfall
14.8,93,0.2
12.0,90,10.2
9.4,99,23.3
10.4,98,0.7
12.8,92,0.0
12.9,97,0.0
10.4,98,0.0
13.0,95,0.0
13.2,93,0.0
14.8,92,0.0
16.7,80,0.0
15.6,81,0.0
14.0,94,1.0
7.3,95,11.6
11.3,99,0.7
12.2,94,0.0
12.1,79,0.0
11.9,91,0.0
12.7,93,0.0
13.1,94,0.0
9.5,94,6.3
10.3,98,15.5
10.6,98,1.8
11.7,97,0.1
11.4,99,0.0
9.8,98,6.4
8.1,98,11.2
10.1,98,1.3
6.4,95,3.3
9.6,94,0.0
12.2,89,0.0
12.3,86,0.0
11.7,88,4.3
9.8,93,10.1
12.7,96,0.0
14.1,88,0.0
12.2,95,0.0
13.4,93,0.1
13.2,89,1.7
13.1,89,0.4
14.2,80,0.0
13.6,94,0.0
14.1,94,0.0
15.8,90,0.0
16.1,92,0.0
15.8,95,0.2
16.0,96,3.0
15.8,87,0.7
14.6,92,1.8
15.4,93,1.8
15.2,86,4.8
17.4,87,0.0
20.3,82,0.0
19.7,90,0.0
20.0,87,0.0
13.2,90,13.5
13.4,94,12.1
13.1,95,0.2
15.0,89,0.4
9.9,88,18.7
8.2,91,71.0
10.9,98,11.4
11.5,97,0.4
13.0,85,2.0
12.8,94,2.3
15.1,92,3.2
13.3,95,11.6
11.8,94,13.3
16.6,89,0.0
18.2,84,0.0
18.3,85,0.0
17.6,83,0.0
17.0,82,0.7
12.4,91,13.4
13.8,95,4.9
15.5,94,3.3
16.0,98,0.0
17.6,91,0.0
18.7,91,0.0
19.4,91,0.0
20.8,94,0.0
21.4,93,0.0
22.5,91,0.0
21.4,89,0.5
22.8,89,0.0
23.0,80,0.0
23.5,79,0.0
18.6,86,9.1
17.5,91,12.8
17.1,93,3.0
17.8,90,1.6
18.9,85,3.5
16.2,89,34.6
16.9,94,11.2
17.3,98,0.9
18.0,93,0.2
15.9,89,7.3
17.2,93,1.8
20.3,93,0.0
21.5,94,0.0
22.4,89,0.0
21.4,94,3.8
18.9,95,0.0
18.9,97,1.8
20.1,96,1.6
17.9,94,2.5
22.2,95,0.0
24.2,87,0.0
26.7,76,1.0
25.3,60,0.0
24.4,76,0.0
23.5,82,0.0
24.6,76,0.0
24.9,74,0.2
25.0,73,0.3
22.8,88,0.0
23.9,87,1.0
23.0,88,1.5
23.6,78,0.0
25.5,67,2.4
23.7,77,0.0
23.4,75,0.0
23.6,70,0.0
25.8,68,0.0
26.8,68,0.0
27.3,65,0.0
28.4,60,0.0
28.6,71,0.2
27.6,66,0.0
28.9,64,0.0
27.5,73,0.2
24.1,89,6.7
24.4,91,33.7
21.8,93,4.0
23.2,91,2.1
24.0,91,0.0
24.8,87,0.0
27.7,88,0.8
28.2,76,0.2
26.5,77,0.0
27.4,69,0.0
28.0,65,0.0
28.5,61,0.0
28.9,52,0.0
29.4,55,1.9
28.6,51,0.3
28.5,65,0.0
28.3,67,0.0
27.6,70,0.0
28.4,72,0.0
26.0,74,0.0
24.4,70,0.7
22.5,75,10.9
23.1,83,3.4
25.7,88,5.3
23.9,87,14.3
24.9,90,4.2
25.7,89,0.0
27.5,84,0.0
27.8,76,0.0
27.4,75,0.0
27.4,76,0.3
