temp,humidity,rainfall
23.5,90,0.0
19.7,99,8.4
24.4,100,0.2
21.7,100,1.5
20.3,89,0.0
21.3,87,0.0
21.8,93,0.0
20.4,92,0.4
20.2,95,0.0
21.1,94,0.0
20.4,98,0.0
20.1,91,0.0
20.4,96,0.0
22.3,93,0.0
22.9,88,0.0
21.9,95,0.0
19.9,99,0.0
19.4,92,0.0
20.7,97,0.0
21.8,97,0.0
23.0,86,0.0
25.0,81,0.0
25.1,91,0.0
24.4,94,0.0
24.8,97,0.0
25.2,95,0.0
25.7,93,0.0
23.6,95,0.5
20.4,97,9.6
20.8,97,0.0
20.6,88,0.0
22.6,72,0.0
24.9,83,0.0
27.7,76,0.0
28.1,86,0.0
24.9,97,0.0
24.1,86,0.0
26.1,83,0.0
27.2,84,0.0
24.2,92,0.0
25.2,93,0.0
25.9,88,0.0
24.8,83,4.2
24.4,83,0.0
26.1,83,0.0
28.3,78,0.0
26.1,96,0.0
27.3,99,0.0
29.6,97,1.1
28.4,99,0.0
29.6,79,0.0
29.6,84,0.0
30.1,66,0.0
30.8,76,0.0
30.0,88,0.0
31.3,81,0.0
33.4,80,0.0
29.9,90,2.8
31.6,87,0.3
30.8,78,0.0
24.0,93,8.8
26.8,94,0.5
24.8,96,0.2
25.7,66,0.0
27.2,78,0.0
27.9,65,0.0
29.5,65,0.0
31.2,61,0.0
30.9,76,0.4
30.9,75,0.0
31.8,67,0.0
32.1,58,0.0
32.2,75,2.1
30.8,84,0.5
28.9,94,1.6
30.4,93,0.6
28.9,85,0.0
29.4,75,0.0
30.8,74,0.0
31.5,66,0.0
32.5,60,0.0
33.5,73,0.0
33.3,63,0.0
34.4,64,0.0
34.1,89,0.3
33.6,83,3.9
33.5,88,0.0
35.1,94,0.0
33.8,93,3.8
31.0,96,0.0
34.7,78,0.0
36.0,74,0.1
36.7,61,0.0
37.2,62,1.2
34.0,72,0.3
32.1,78,3.2
33.4,95,15.2
32.5,95,5.1
33.5,85,0.2
34.7,68,0.0
34.4,60,0.0
26.1,78,6.7
30.1,87,1.0
29.8,88,14.7
29.7,94,17.8
31.4,91,0.6
30.9,86,3.3
34.3,84,0.0
37.4,63,0.0
37.9,97,0.0
38.0,89,0.0
37.3,54,0.0
36.8,62,0.9
35.8,85,4.8
30.2,90,6.7
28.9,93,16.2
29.8,93,6.5
32.7,95,8.1
32.6,99,0.9
35.1,94,0.0
36.0,77,0.6
36.4,69,0.1
36.0,88,2.6
36.8,86,0.0
37.3,68,0.0
38.0,53,0.0
39.1,44,0.2
38.1,62,0.0
38.9,84,0.0
38.4,73,0.0
36.4,65,1.0
37.4,57,0.0
38.6,65,1.7
37.2,79,5.2
35.8,79,4.0
