temp,humidity,rainfall
26.1,98,1.9
27.9,99,0.0
27.2,96,0.0
28.8,85,0.0
26.6,86,0.2
27.4,76,0.0
29.2,81,0.0
28.9,73,0.0
27.9,78,0.0
27.7,53,0.0
27.7,48,0.0
27.3,50,0.0
27.9,58,0.0
27.8,64,0.0
27.6,76,0.0
27.8,67,0.0
28.2,64,0.0
29.1,63,0.0
29.7,77,0.0
28.6,74,0.0
28.8,72,0.0
28.3,75,0.0
29.0,71,0.0
28.9,73,0.0
29.8,77,0.0
29.3,71,0.0
29.1,79,0.0
29.0,82,0.0
29.6,81,0.0
29.7,79,0.0
29.6,77,0.0
29.4,81,0.0
29.9,78,0.0
28.4,88,0.0
28.6,72,0.0
29.6,63,0.0
30.3,59,0.0
31.1,66,0.0
30.8,63,0.0
31.1,63,0.0
30.3,77,0.0
29.9,78,0.0
30.6,77,0.0
31.3,72,0.0
32.0,75,0.0
32.7,55,0.0
32.8,58,0.0
32.7,64,0.0
33.4,95,0.0
32.2,98,0.0
32.2,88,0.0
32.0,57,0.0
31.7,58,0.0
31.7,55,0.0
32.2,49,0.0
32.1,76,0.0
32.9,94,0.0
32.3,99,0.0
32.2,80,0.1
29.4,90,1.7
30.4,91,0.5
30.5,94,0.0
31.0,72,0.0
33.1,74,0.0
32.6,68,0.0
33.2,70,0.0
32.1,97,7.6
31.0,94,9.2
31.1,93,0.0
32.4,68,0.0
32.9,62,0.0
33.7,69,0.0
33.3,89,0.0
32.5,92,1.1
32.4,90,1.0
34.5,69,0.0
35.5,79,0.0
34.2,82,0.0
35.7,55,0.0
35.7,66,0.0
36.0,77,0.0
35.6,83,0.0
36.3,80,0.0
35.9,88,0.0
35.3,93,0.0
34.6,69,0.0
35.8,85,0.0
35.1,93,0.0
34.3,86,0.0
33.8,92,0.0
34.0,92,0.0
36.5,79,0.0
36.7,80,0.0
37.0,61,0.0
37.1,50,0.0
37.4,81,0.0
36.8,86,0.0
36.8,85,0.0
35.5,82,0.0
35.2,88,1.0
32.5,89,6.7
32.0,94,14.0
30.7,94,0.0
31.7,94,0.0
32.3,92,0.0
32.7,84,0.0
32.8,91,0.1
35.7,93,0.0
36.1,97,0.0
37.0,94,0.0
37.5,89,0.0
37.5,89,0.2
36.0,95,10.5
34.4,92,0.0
35.6,92,0.0
34.5,96,0.0
35.7,96,0.0
35.4,90,0.0
37.5,88,0.0
37.4,90,0.0
38.0,89,0.0
37.1,90,0.2
36.5,89,0.0
36.5,86,0.9
34.6,89,2.7
36.0,90,1.1
35.2,91,1.7
35.7,90,0.2
36.2,91,1.5
37.4,89,0.0
35.8,89,0.6
34.8,90,1.7
33.1,93,13.0
31.2,79,0.3
33.1,91,0.8
32.3,94,2.6
34.5,94,0.4
33.9,90,0.1
34.7,90,0.3
37.6,90,0.0
35.0,90,0.1
36.4,90,0.2
35.7,90,1.1
35.8,92,0.0
35.3,92,0.0
35.7,90,0.5
36.2,90,0.2
36.0,89,0.0
34.0,90,1.9
36.6,94,3.1
34.4,95,5.1
33.1,93,7.1
31.8,93,8.1
33.9,93,0.0
33.9,93,1.3
33.7,93,6.4
32.9,92,0.3
33.5,85,0.5
31.6,90,2.0
30.4,98,4.8
31.6,98,1.7
