temp,humidity,rainfall
28.7,93,2.6
31.4,93,0.0
32.1,93,0.0
33.5,90,0.0
33.8,87,0.0
33.2,88,0.0
32.7,87,0.0
32.7,90,0.0
32.2,86,0.3
33.4,82,0.0
33.3,63,0.0
32.7,65,0.0
32.7,68,0.0
32.8,79,0.0
33.5,82,0.0
34.1,80,0.0
34.0,80,0.0
34.9,74,0.0
34.8,74,0.0
34.1,70,0.0
34.4,74,0.0
33.9,74,0.0
34.3,74,0.0
34.1,77,0.0
35.1,74,0.0
34.5,67,0.0
34.5,69,0.0
35.0,76,0.0
34.8,70,0.0
34.6,72,0.0
35.2,70,0.0
35.1,66,0.0
34.7,68,0.0
34.7,69,0.0
34.0,70,0.0
33.9,61,0.0
35.8,71,0.0
35.6,75,0.0
35.1,66,0.0
35.7,66,0.0
35.4,69,0.0
35.4,70,0.0
36.2,79,0.0
35.4,83,0.0
36.1,87,0.0
35.3,86,0.0
36.5,87,0.0
36.3,86,0.0
35.0,89,0.0
35.1,90,0.0
36.9,89,0.0
36.0,67,0.0
36.6,66,0.0
36.6,61,0.0
36.6,72,0.0
36.7,81,0.0
34.9,85,0.0
34.9,85,0.1
35.2,84,0.9
34.0,85,0.8
32.4,87,1.2
33.3,90,0.0
34.5,84,0.5
35.7,79,1.7
36.3,86,2.6
34.1,89,3.8
34.0,89,5.8
33.8,91,1.3
34.6,92,0.3
36.2,92,0.0
36.4,84,0.0
36.7,86,0.2
36.0,93,6.1
35.1,97,28.9
34.1,94,13.9
33.4,94,0.0
33.3,94,0.2
34.5,94,0.0
36.1,92,0.0
37.5,96,0.0
37.6,94,0.0
35.3,93,0.4
36.0,89,0.4
36.6,86,0.1
36.4,86,0.0
37.3,90,0.3
36.8,94,0.0
37.5,92,0.5
36.2,91,0.4
34.2,85,1.0
35.3,96,23.5
33.7,90,1.2
33.5,93,1.9
34.6,93,0.1
36.8,89,0.0
33.6,89,3.3
35.4,91,2.8
32.3,88,2.0
33.6,97,11.1
32.4,98,5.2
32.3,95,3.6
32.9,96,5.1
30.7,95,5.3
32.3,96,9.4
32.1,96,2.4
31.8,94,5.7
32.7,98,1.3
32.8,98,1.3
33.3,95,6.9
33.0,97,3.4
30.8,99,18.3
30.1,98,0.7
31.2,96,7.0
31.9,97,7.4
31.6,98,4.4
31.9,99,12.3
33.0,98,4.8
31.6,99,3.8
32.1,94,2.7
31.4,97,7.3
32.1,97,0.2
32.6,94,0.0
31.6,93,2.9
31.5,97,6.6
32.1,97,9.5
31.3,98,6.8
30.8,96,11.3
31.7,98,5.8
31.0,96,6.9
31.2,99,10.2
28.7,100,6.3
30.5,99,14.9
30.2,99,20.3
27.6,98,16.4
30.7,98,7.8
28.3,98,25.3
26.0,97,15.5
29.9,97,10.5
28.5,96,3.3
30.4,96,4.6
31.4,96,1.4
29.3,95,2.4
30.0,97,4.2
30.5,98,5.5
31.7,99,0.7
31.5,97,0.7
30.8,95,0.9
32.0,98,8.4
29.7,98,9.3
31.2,95,10.1
30.6,99,12.5
28.6,98,4.9
29.0,98,2.0
30.9,98,0.1
29.1,99,22.4
29.4,99,11.1
31.4,97,0.3
30.0,98,13.3
27.0,98,19.4
29.6,98,13.2
30.4,98,1.0
27.7,99,27.6
27.6,98,1.7
28.6,98,7.7
29.2,98,1.6
28.3,97,11.9
28.2,98,9.2
27.4,98,12.6
26.1,98,15.3
26.9,99,20.8
26.0,97,10.9
28.2,99,31.4
27.6,99,20.6
27.6,98,19.2
28.3,98,12.4
28.6,99,16.2
27.6,98,14.5
28.1,100,11.5
29.0,97,3.1
28.0,96,5.1
29.2,97,0.8
29.2,95,0.9
29.4,96,0.9
28.9,94,0.7
29.9,94,1.2
29.1,94,2.3
28.9,96,4.6
29.2,96,5.1
28.7,96,4.4
27.7,97,13.3
26.9,97,16.1
28.6,97,7.9
28.8,96,0.7
29.2,95,0.9
29.3,93,3.4
27.4,97,19.5
28.1,96,9.4
27.1,98,22.6
27.4,99,29.2
24.3,98,31.0
25.6,97,11.9
28.9,98,14.6
27.5,98,18.9
27.4,98,31.0
26.8,98,15.6
26.8,97,17.9
26.5,98,17.8
29.0,96,1.2
30.1,98,0.3
29.8,98,0.7
29.1,98,1.3
29.7,96,0.8
28.5,96,6.2
26.8,95,1.9
27.9,96,9.2
27.7,97,7.5
27.6,97,8.4
29.0,97,3.4
29.1,97,7.1
28.8,98,6.9
28.0,98,14.6
27.5,98,8.9
28.3,96,5.6
27.9,97,6.3
27.9,97,1.7
29.1,95,0.7
29.7,94,1.5
29.4,97,8.5
30.3,99,6.7
30.7,98,53.5
30.2,96,1.9
29.9,97,3.6
29.1,98,8.6
28.0,98,17.0
28.6,97,6.0
29.2,96,1.8
29.8,98,0.1
29.3,97,0.1
28.8,97,1.2
29.4,97,2.2
29.4,98,2.5
29.7,98,3.4
29.6,98,2.0
30.4,98,0.9
30.5,98,0.5
30.6,98,0.7
30.6,97,3.7
28.7,98,13.1
29.1,98,12.8
27.1,98,30.6
25.3,98,11.0
27.0,98,18.8
29.2,98,3.5
29.5,97,6.0
29.5,97,6.7
29.9,98,0.7
29.2,96,1.3
29.0,94,4.2
28.6,96,7.6
29.1,96,6.2
29.5,96,2.2
28.5,98,17.2
28.5,99,6.5
30.2,97,0.0
29.5,96,0.9
30.4,98,3.8
30.8,99,9.3
30.9,99,1.5
30.5,98,5.7
30.5,99,5.4
30.1,99,2.0
29.6,99,22.9
29.3,99,32.3
29.5,100,8.8
29.6,95,1.9
29.4,97,3.6
28.0,98,19.2
26.2,99,19.7
28.7,99,7.2
29.5,98,4.3
29.0,98,8.6
27.9,98,14.4
28.8,98,25.9
30.1,97,11.7
29.6,99,18.4
30.1,100,14.3
32.4,99,0.3
31.8,98,0.0
