temp,humidity,rainfall
25.5,89,0.0
25.6,92,0.0
26.8,94,0.0
29.6,81,0.0
29.7,78,0.0
28.7,80,0.0
27.8,80,0.0
29.0,71,0.0
30.0,70,0.0
29.6,72,0.0
29.0,71,0.0
28.8,86,0.0
27.6,87,0.0
28.0,85,0.0
28.6,74,0.0
28.9,77,0.0
29.6,75,0.0
28.9,74,0.0
27.3,98,0.0
26.8,100,0.0
27.2,92,0.0
25.7,91,0.0
27.1,80,0.0
27.9,91,0.0
27.8,89,0.0
27.4,82,0.0
26.7,69,0.0
27.7,77,0.0
27.8,73,0.0
30.2,76,0.0
30.5,81,0.0
29.5,86,0.0
28.1,82,0.0
29.9,76,0.0
29.7,89,0.0
29.7,91,0.0
28.2,95,0.0
27.7,94,0.0
27.3,97,0.0
29.7,86,0.0
28.7,92,0.0
28.7,93,0.0
29.5,80,0.0
29.6,87,0.0
29.3,88,0.0
29.3,84,0.0
29.4,90,0.0
30.3,91,0.0
28.5,95,0.0
29.0,99,0.0
29.3,100,0.0
32.8,88,0.0
32.6,85,0.0
30.2,91,0.0
29.7,95,0.0
29.3,97,0.0
28.0,90,0.0
27.4,85,0.0
25.9,92,9.4
24.6,90,8.5
25.4,82,0.0
25.4,85,0.0
26.6,84,0.0
28.7,80,0.0
30.9,74,0.0
30.5,84,0.0
29.6,86,0.0
31.0,78,0.0
30.4,93,0.0
31.7,85,0.0
33.5,74,0.0
32.6,94,0.3
29.7,95,0.0
28.5,93,0.0
28.4,87,0.0
31.2,70,0.0
32.5,83,0.0
32.4,85,0.0
31.9,92,0.0
31.7,95,0.0
31.3,96,0.0
31.1,95,0.0
32.4,87,0.0
34.7,88,0.0
30.7,97,0.0
30.3,96,0.0
30.7,95,0.0
32.0,93,0.0
32.7,90,0.0
33.0,82,0.0
31.3,89,0.0
31.1,90,0.0
30.1,95,0.0
30.2,95,0.0
29.9,92,0.0
29.8,89,0.0
29.9,90,0.0
29.7,88,0.0
30.2,85,0.0
29.7,87,0.0
29.4,89,0.0
29.4,92,0.0
29.3,84,0.0
29.5,90,1.1
30.4,88,0.0
32.2,89,0.0
32.1,94,0.0
31.3,96,0.0
32.6,92,0.0
31.4,93,0.0
31.4,92,0.0
30.9,91,0.0
30.9,89,0.0
30.9,90,0.0
30.8,85,0.0
30.4,86,0.0
31.4,88,0.0
31.1,90,0.0
31.2,91,0.0
31.1,91,0.0
31.3,88,0.0
31.0,93,0.0
31.1,93,0.0
31.7,93,0.0
32.0,92,0.0
32.7,90,0.0
32.1,90,0.0
32.3,90,0.0
33.2,89,0.0
33.0,89,0.0
32.6,90,0.0
31.8,90,0.0
31.5,86,0.0
32.7,83,0.3
33.6,92,0.0
32.6,90,0.0
32.4,90,0.0
32.3,88,0.0
32.0,86,0.0
31.9,81,0.0
31.7,79,0.0
32.1,78,0.0
32.3,79,0.0
32.1,79,0.0
31.9,78,0.1
32.1,77,0.0
32.3,78,0.0
32.6,79,0.0
32.8,82,0.0
32.4,84,0.0
32.0,85,0.0
31.5,83,0.0
32.1,72,0.0
32.4,76,0.0
33.1,82,0.0
32.8,89,2.8
32.3,84,1.8
32.7,81,1.2
32.1,90,5.3
31.8,92,8.4
30.1,92,6.8
29.5,93,10.7
29.5,94,14.9
27.2,95,43.1
26.6,94,107.3
27.1,93,38.0
27.0,94,31.7
28.4,93,16.1
28.2,95,27.1
26.7,94,53.4
27.5,94,60.0
28.1,94,63.9
27.3,94,20.4
28.1,92,69.5
28.7,92,41.8
29.1,90,6.6
28.9,90,5.0
29.3,93,6.1
29.3,90,4.9
28.7,94,5.5
28.7,94,2.8
29.1,93,4.2
29.1,92,1.8
