temp,humidity,rainfall
19.2,93,0.0
18.1,92,0.0
18.7,100,0.0
20.3,100,0.0
22.3,92,0.0
22.6,95,0.0
22.0,95,0.0
20.7,97,0.0
21.1,98,0.0
22.9,96,0.0
24.2,93,0.0
23.0,94,0.0
21.2,98,0.2
21.1,100,0.1
18.3,99,0.0
19.0,94,0.0
20.2,92,0.0
20.6,93,0.0
20.7,93,0.0
20.8,94,0.5
21.3,95,4.5
19.0,99,3.5
18.0,99,0.5
18.1,98,0.0
19.0,93,0.0
17.8,96,0.0
18.1,90,0.0
16.8,91,0.0
18.6,93,0.0
19.1,89,0.0
21.3,80,0.0
22.9,83,0.0
23.5,94,0.0
23.4,96,0.0
22.2,95,0.0
21.7,97,0.0
22.8,83,0.0
22.9,93,2.2
23.5,96,0.1
23.6,80,0.0
23.9,80,0.0
24.0,84,0.0
24.0,80,0.0
26.6,68,0.0
29.5,76,0.0
28.7,88,0.0
29.2,89,0.0
29.7,95,0.0
27.7,94,2.2
30.4,85,0.7
30.6,86,0.0
31.0,72,0.0
31.3,72,0.0
30.9,76,0.0
31.3,79,0.0
29.2,56,0.0
25.1,24,0.0
25.6,51,0.0
26.7,89,6.9
21.3,97,39.3
20.9,96,2.1
21.5,97,0.0
22.5,86,0.0
24.3,77,0.0
25.7,78,0.5
26.6,89,1.0
26.2,94,0.0
24.0,75,0.0
23.8,86,0.0
27.1,82,0.0
28.1,88,4.4
28.5,88,3.9
25.1,97,0.9
23.1,97,3.9
24.1,97,0.8
26.2,97,0.0
26.1,92,0.0
28.1,85,0.0
30.5,82,0.0
31.7,69,0.1
33.0,71,0.0
33.4,76,0.0
35.8,56,0.0
35.9,57,0.3
35.2,59,0.1
34.8,56,0.0
35.7,62,0.0
33.9,60,2.2
32.4,87,0.0
31.8,92,0.0
34.2,90,0.0
34.9,54,0.4
33.6,83,1.5
28.2,89,0.6
29.2,83,0.4
31.2,84,0.0
30.8,68,0.0
32.8,72,0.0
33.3,62,0.0
34.8,61,0.0
35.1,69,0.5
28.4,87,8.6
29.0,92,2.6
28.4,94,0.1
30.1,87,0.1
32.9,90,0.0
37.0,77,0.0
39.0,62,0.0
39.8,56,0.0
40.2,33,0.0
38.6,36,0.0
38.8,44,0.0
38.2,43,0.0
39.3,25,0.0
39.7,55,0.0
37.5,60,0.0
39.7,59,0.2
40.4,49,0.0
38.2,55,0.0
41.3,45,0.0
38.5,42,0.0
37.5,44,0.0
38.7,30,0.0
39.7,31,0.0
40.4,44,0.0
41.3,23,0.0
41.4,21,0.0
40.3,25,0.0
40.3,28,0.0
39.7,38,0.1
38.6,56,0.9
37.5,63,0.0
36.7,67,1.0
36.3,72,0.0
37.9,65,0.0
39.5,59,0.0
41.3,53,0.0
43.0,61,0.0
42.7,57,0.3
40.5,58,1.6
41.5,41,0.0
42.1,37,0.0
42.1,33,0.0
41.2,43,0.0
42.3,46,0.0
42.1,46,0.0
41.5,32,0.0
41.3,43,0.9
40.9,45,0.0
41.1,39,0.0
41.1,40,0.0
39.7,44,0.9
37.7,51,0.7
36.8,72,2.0
34.4,72,0.0
37.5,70,0.0
38.4,50,0.0
40.9,55,0.0
42.2,44,0.0
36.7,58,0.0
38.4,61,0.0
36.3,75,0.3
37.5,75,0.5
38.2,75,0.9
36.5,78,2.8
35.7,80,1.5
36.9,71,0.0
36.4,81,1.5
38.9,68,0.0
38.9,59,0.0
39.9,60,0.0
38.1,67,0.3
37.5,69,0.3
38.1,84,2.4
34.4,95,10.1
33.7,94,1.3
34.9,82,0.3
36.4,70,0.2
37.5,64,0.5
37.0,98,16.3
33.7,98,8.1
34.9,94,1.2
34.7,82,0.6
35.0,63,0.2
36.1,62,0.0
36.8,64,0.0
35.7,66,0.0
34.4,88,3.4
33.5,93,20.1
30.2,96,24.5
30.4,97,14.0
28.7,97,5.6
31.1,93,0.3
33.4,89,0.2
34.0,85,0.3
34.5,63,0.0
33.9,65,0.0
31.3,90,4.6
31.5,96,5.8
31.3,94,8.9
29.4,96,11.4
30.7,95,7.8
31.7,96,4.3
32.0,95,6.7
30.6,97,14.4
30.5,96,12.9
26.7,97,3.5
28.1,92,0.9
26.9,91,10.7
26.7,97,8.0
28.3,93,4.3
27.7,88,0.6
27.6,91,1.4
29.6,91,0.3
30.5,89,0.5
31.7,95,3.5
31.0,94,1.8
30.1,87,2.9
31.3,85,0.0
30.9,91,2.3
31.8,91,1.0
32.0,95,0.6
29.8,99,9.5
30.7,99,1.6
31.4,98,5.0
30.9,97,12.7
30.9,96,2.3
29.2,96,5.9
30.7,94,0.9
32.2,90,0.0
31.4,89,0.0
30.4,82,0.0
30.6,82,0.0
31.2,80,0.0
31.5,84,0.8
31.6,86,0.5
32.5,83,0.0
33.4,83,0.0
33.3,79,0.0
33.6,76,0.0
34.6,73,0.1
34.3,75,0.0
34.7,77,0.0
33.4,74,0.0
33.8,74,0.0
33.8,72,0.0
35.0,69,0.0
35.1,63,0.0
34.1,63,0.0
33.6,62,0.0
35.0,67,0.0
35.0,59,0.0
35.3,60,0.0
37.8,60,0.0
37.6,79,0.0
37.7,86,0.0
38.4,82,0.0
37.0,68,0.0
37.0,74,0.0
36.5,73,0.0
33.7,91,3.8
33.5,92,0.2
35.3,78,0.0
35.0,76,0.0
30.6,85,0.0
33.1,88,0.0
34.0,76,0.0
34.1,73,0.0
34.3,71,0.0
34.6,68,0.0
34.9,72,0.0
36.1,65,0.0
36.7,68,0.0
36.4,62,0.0
37.2,56,0.0
38.0,45,0.0
38.0,48,0.0
37.7,39,0.0
37.0,49,0.0
36.8,61,0.0
37.0,54,0.0
36.7,52,0.0
36.9,42,0.0
36.8,46,0.0
36.3,49,0.0
36.3,51,0.0
36.4,73,0.0
34.9,78,0.0
34.5,65,0.0
36.3,69,0.0
35.7,69,0.0
35.5,65,0.0
35.4,58,0.0
34.3,50,0.0
33.5,41,0.0
33.4,51,0.0
33.5,52,0.0
33.5,58,0.0
32.5,69,0.0
30.3,81,1.3
25.5,85,7.7
25.5,89,0.0
26.5,94,0.0
27.0,90,0.0
28.8,77,0.0
29.3,77,0.0
29.7,76,0.0
31.6,73,0.0
30.5,81,0.0
30.0,85,0.0
29.1,83,0.0
30.1,85,0.2
30.0,81,0.2
29.9,84,0.3
29.8,86,0.0
29.9,71,0.0
31.2,77,0.0
30.5,71,0.0
30.9,72,0.0
29.6,70,0.0
27.7,47,0.0
27.5,54,0.0
27.3,62,0.0
27.4,72,0.0
27.3,78,0.0
27.4,79,0.0
27.3,78,0.0
28.0,70,0.0
27.6,58,0.0
28.3,59,0.0
24.4,52,0.0
24.0,78,0.0
25.3,86,0.0
27.2,93,0.0
26.0,97,2.6
24.6,96,0.0
24.2,90,0.0
25.5,94,0.0
26.4,82,0.0
26.5,83,0.0
26.4,87,0.0
26.5,73,0.0
26.5,82,0.5
26.9,80,0.0
22.3,90,0.0
20.2,86,0.0
19.8,84,0.0
20.2,59,0.0
20.8,66,0.0
20.9,80,0.0
21.1,81,0.0
20.8,88,0.0
20.5,78,0.0
20.6,80,0.0
19.9,78,0.0
19.5,86,0.0
19.9,90,0.0
18.9,70,0.0
19.8,72,0.0
22.0,74,0.0
24.7,58,0.0
26.1,72,0.0
26.1,73,0.0
