temp,humidity,rainfall
21.9,93,11.1
26.4,92,1.4
27.6,99,3.1
24.4,98,0.0
23.7,96,0.0
23.1,95,0.0
23.1,96,0.0
23.4,93,0.0
23.1,93,0.0
23.7,93,0.0
22.5,94,0.0
23.0,94,0.0
23.4,95,0.0
24.2,95,0.0
24.9,94,0.0
25.2,91,0.0
24.6,88,0.0
22.9,93,0.0
22.8,94,0.0
23.5,95,0.0
24.2,92,0.0
24.9,93,0.0
25.8,97,0.0
26.3,94,0.0
26.1,91,0.0
26.2,93,0.0
26.9,94,0.0
27.2,94,0.0
26.2,95,0.0
23.0,94,0.0
23.4,85,0.0
24.0,91,0.0
25.3,92,0.0
27.6,89,0.0
29.1,90,0.0
28.1,91,0.0
25.8,80,0.0
25.8,86,0.0
27.7,89,0.0
28.1,93,0.0
28.0,87,0.0
27.7,81,0.0
27.5,97,0.0
26.8,99,0.0
27.2,100,0.1
28.5,100,5.7
27.8,98,0.2
28.5,100,0.4
28.8,99,5.6
27.7,99,1.5
29.7,99,0.0
30.4,100,0.0
30.8,100,1.4
31.3,100,0.0
31.7,99,0.0
32.3,99,0.0
33.6,96,0.0
33.0,97,0.1
32.7,99,0.0
32.6,100,0.0
32.0,96,0.0
30.1,92,4.8
27.7,94,0.6
28.6,82,0.0
28.6,87,0.0
29.4,88,0.0
31.0,83,0.0
32.2,91,0.0
33.4,85,0.0
32.3,76,0.0
32.6,81,0.0
33.1,92,0.0
34.4,95,0.0
34.3,85,0.0
31.7,82,0.0
34.7,80,1.0
31.6,79,0.1
32.5,77,0.0
32.6,77,0.0
33.5,86,0.0
34.1,87,0.0
35.5,89,0.0
34.7,99,7.2
33.2,97,1.8
32.9,98,0.0
32.6,98,0.0
31.3,96,38.1
32.3,99,10.5
31.9,97,1.9
30.2,97,0.2
32.6,98,2.0
33.6,93,0.3
35.5,96,0.1
35.6,96,18.4
32.0,97,22.7
31.3,98,0.6
28.7,98,12.8
30.5,98,6.1
33.4,97,0.0
33.8,96,0.2
33.6,97,1.7
31.2,97,12.6
30.1,98,0.3
31.6,96,0.0
32.7,97,0.3
32.3,96,8.8
32.2,97,1.5
33.1,87,0.1
34.6,88,0.2
34.9,90,0.3
36.4,93,1.7
36.8,93,0.0
35.7,94,1.6
30.4,97,27.9
27.3,98,43.5
28.5,99,9.1
30.6,100,0.1
30.6,98,14.9
31.2,98,12.7
32.4,97,13.5
34.2,96,0.4
33.5,97,1.0
33.6,97,0.4
33.3,99,0.0
34.9,97,0.0
34.7,96,0.0
35.8,97,4.0
34.5,97,1.2
33.9,93,1.8
35.1,93,0.5
34.9,95,1.7
34.9,95,0.3
35.6,94,0.0
36.1,93,0.0
35.2,93,8.5
32.8,95,11.9
33.0,94,0.0
34.0,94,1.1
32.4,93,0.1
33.7,97,2.9
37.1,97,0.0
39.7,93,0.0
38.5,92,0.6
38.7,91,0.0
37.6,91,0.0
36.8,91,0.0
36.8,89,0.0
37.4,86,0.1
36.6,84,0.0
36.8,82,0.0
36.9,82,0.0
36.9,86,0.0
36.6,87,3.1
36.3,87,0.0
35.3,87,0.1
36.1,87,0.0
37.2,86,1.6
37.7,85,0.0
38.4,84,0.0
38.6,83,0.0
39.1,86,1.1
37.8,95,27.6
32.1,94,1.7
31.4,96,6.3
33.4,97,5.1
31.7,97,13.4
30.1,94,6.9
32.3,94,7.6
32.1,93,0.8
32.6,90,4.0
30.7,92,9.4
29.9,95,7.0
31.0,93,2.4
30.2,96,2.5
27.9,97,20.8
27.4,97,29.6
28.3,93,38.7
26.7,95,86.4
31.2,97,17.7
30.4,96,6.4
31.9,97,21.4
30.6,99,16.8
32.1,98,11.7
33.1,97,8.4
33.5,97,14.1
31.2,98,3.6
31.2,98,5.6
31.9,98,21.6
29.1,98,18.1
28.8,96,60.9
27.8,99,17.2
32.0,99,7.6
31.9,97,0.2
33.1,98,13.8
32.5,97,21.8
32.4,98,27.6
30.1,97,28.2
27.8,98,16.5
30.1,96,74.5
30.0,97,31.9
28.1,98,20.1
31.1,97,15.4
30.0,96,17.0
30.5,96,23.7
29.9,96,30.4
27.3,97,13.6
30.3,96,19.9
26.5,94,21.5
29.8,93,12.8
29.1,95,69.4
31.9,97,37.6
29.7,96,21.6
26.5,100,21.1
27.1,95,11.7
31.6,96,2.1
32.4,97,0.7
32.7,97,3.3
32.1,95,1.1
31.9,96,0.6
32.0,96,0.2
32.6,97,0.0
31.9,95,1.2
31.1,95,8.1
30.9,92,6.4
30.8,95,8.9
32.1,95,4.6
30.4,94,6.4
29.8,93,4.8
31.7,94,15.9
30.5,92,2.7
31.9,95,13.2
32.5,93,2.7
32.8,98,10.9
32.5,98,1.4
32.1,98,10.6
31.9,98,8.1
31.7,97,32.9
31.6,97,0.3
31.0,91,2.2
30.7,93,9.4
31.1,95,10.7
31.5,98,13.9
30.4,98,23.9
28.3,97,15.0
31.6,95,4.0
31.1,97,1.0
32.2,97,0.5
33.0,97,2.3
33.4,97,0.1
33.5,97,0.0
33.8,95,0.2
33.8,96,0.0
31.9,97,1.0
31.3,95,3.8
31.9,97,7.1
31.5,97,7.4
31.4,96,5.2
29.6,94,5.9
31.3,98,7.6
31.9,97,1.4
32.7,99,22.7
30.2,97,6.9
29.1,96,10.0
29.5,96,3.7
30.2,95,15.5
28.8,97,16.6
31.4,96,0.4
32.9,97,0.0
32.2,97,2.1
31.9,98,0.0
31.8,99,0.0
31.9,100,0.0
32.6,96,0.0
32.8,97,0.3
33.0,96,2.6
33.0,98,0.2
32.8,99,0.0
32.0,99,0.1
32.3,99,3.0
30.0,98,5.4
29.1,96,3.0
31.4,98,0.7
32.8,100,0.0
31.6,100,0.0
30.9,98,1.4
29.4,97,4.7
28.9,98,5.6
28.6,99,1.5
29.6,99,0.6
30.2,99,0.4
31.0,99,0.1
30.5,99,0.0
30.6,99,0.0
31.0,100,0.1
31.5,99,0.0
32.3,98,0.0
31.6,93,0.0
30.6,93,0.0
30.0,94,0.0
30.0,93,0.0
29.6,92,0.0
29.6,92,0.0
28.9,97,0.2
28.0,98,0.5
28.0,97,0.3
28.0,99,0.4
29.2,100,0.0
30.0,96,0.0
30.3,96,0.7
31.0,98,0.0
30.4,96,0.0
30.2,92,0.0
29.5,92,0.0
29.0,92,0.0
29.6,92,0.0
30.2,95,0.0
30.3,92,0.0
30.3,90,0.0
30.6,96,0.0
30.2,97,0.0
29.4,95,0.0
29.2,98,0.0
29.0,98,0.0
29.4,95,0.0
29.3,95,0.0
28.9,94,0.0
28.7,94,0.0
28.8,93,0.0
28.9,92,0.0
28.6,91,0.0
28.6,93,0.0
28.9,95,0.0
29.4,90,0.0
29.8,88,0.0
30.0,93,0.0
29.4,95,2.5
28.5,99,4.4
27.8,99,0.0
27.6,95,0.1
25.8,98,0.4
26.6,99,0.5
26.8,96,0.0
27.3,94,0.0
27.1,95,0.0
27.1,99,0.3
29.1,99,0.0
27.5,98,0.2
26.7,82,0.0
25.3,81,0.0
24.4,86,0.0
24.4,89,1.8
20.8,100,4.1
23.5,99,0.0
23.5,91,0.0
23.9,91,0.0
23.9,86,0.0
25.1,85,0.0
24.6,82,0.0
22.3,78,0.0
23.2,78,0.0
23.4,85,0.0
23.9,89,0.0
24.9,89,0.0
25.3,85,0.0
25.8,94,0.0
26.3,95,0.0
26.0,94,0.0
25.6,97,0.0
25.3,93,0.0
24.8,91,0.0
25.5,92,0.0
25.9,97,0.0
27.7,99,0.0
27.7,99,0.0
26.3,85,0.0
25.0,92,0.0
24.8,92,0.0
24.4,92,0.0
25.5,91,0.0
26.9,96,0.0
26.7,92,0.0
26.4,81,0.0
26.1,85,0.0
26.7,88,0.2
25.9,94,2.6
23.0,89,0.2
22.1,91,0.0
21.6,92,0.0
22.0,95,0.0
22.9,95,0.0
24.0,95,0.0
23.2,97,1.8
25.1,97,0.2
25.2,93,0.0
26.4,100,0.0
28.1,100,0.4
28.7,99,0.0
27.8,99,0.2
27.5,93,0.0
26.1,74,0.0
26.5,86,0.0
26.9,90,0.0
27.8,94,0.0
28.6,97,1.9
27.4,94,0.2
28.0,98,0.0
29.9,99,0.2
29.7,99,0.0
29.8,100,0.0
28.8,100,0.4
30.3,100,0.0
31.2,93,0.4
31.8,96,0.0
33.3,96,0.0
33.7,86,0.0
35.0,90,0.0
35.3,85,0.0
32.3,81,0.0
31.5,92,2.6
24.8,96,46.2
27.4,98,2.5
27.8,98,6.4
27.6,99,7.3
28.7,100,0.0
29.0,97,0.4
30.1,97,0.1
30.3,98,1.1
30.9,98,0.0
32.3,97,0.0
32.8,99,3.0
31.8,95,3.8
31.8,92,0.0
32.0,94,0.0
33.0,95,0.0
32.9,97,0.0
33.3,97,0.0
33.9,96,0.0
32.7,96,0.0
30.5,86,0.0
32.2,90,1.1
32.3,89,0.1
32.4,98,0.0
32.9,99,0.0
32.8,98,6.0
32.4,99,0.5
34.7,99,0.4
34.6,99,0.0
33.9,98,0.0
34.3,82,0.0
